usgs_site,year,start_date,end_date,previous_end_date,next_start_date,days_since,days_until,events,cum_fire_area,catch_area,cum_per_cent_burned,all_fire_area,all_per_cent_burned,latitude,longitude
sbc_lter_bel,2008,2008-07-01,2008-07-01,,2017-07-08,,3294,{CA3448511986620080701},8.53,14.64,58.27,8.53,58.27,34.47629736909082,-119.89462912942605
sbc_lter_gav,2004,2004-06-05,2004-06-05,,,,,{CA3448712019620040605},4.39,49.66,8.84,4.39,8.84,34.52615217841936,-120.22697987997333
sbc_lter_hon,2004,2004-06-05,2004-06-05,,2021-10-11,,6337,{CA3448712019620040605},1.92,11.27,17.04,1.92,17.04,34.5025658615006,-120.14639213544712
sbc_lter_mis,2009,2009-05-05,2009-05-05,2008-11-13,2017-12-04,173,3135,{CA3447411972520090505},13.29,30.23,43.96,14.03,46.41,34.45496970396349,-119.70650898137892
sbc_lter_rat,2017,2017-12-04,2017-12-04,2009-05-05,,3135,,{CA3442911910020171205},0.77,5.72,13.46,5.21,91.08,34.47740565482747,-119.68464480455468
sbc_lter_ref,2016,2016-06-15,2016-06-15,,2021-10-11,,1944,{CA3453012005420160615},4.69,20.50,22.88,4.69,22.88,34.50658206338228,-120.06604015891175
syca,2020,2020-06-13,2020-06-13,2012-08-12,,2862,,{AZ3362611156220200613},119.00,272.19,43.72,306.67,112.67,33.86272846238917,-111.46732327001794
USGS-06259000,2011,2011-07-22,2011-07-22,2007-08-08,2012-08-09,1444,384,{WY4381510955820110722},105.32,19954.38,0.53,488.65,2.45,43.18392207031756,-108.63047284911032
USGS-06274300,2012,2012-06-26,2012-08-09,2011-07-22,2013-07-22,340,347,"{WY4306610945120120809,WY4383510733620120626}",177.84,34298.57,0.52,1780.46,5.19,43.49725264628224,-108.36738856755544
USGS-06279500,2006,2006-06-06,2006-08-11,2005-07-13,2007-08-08,328,362,"{WY4302110901420060811,WY4303410908720060606,WY4352111000920060804,WY4373610726720060804,WY4378510773720060805,WY4406610940720060619}",181.15,40823.89,0.44,1627.93,3.99,43.63740529087702,-108.390163922181
USGS-06635000,2015,2015-10-01,2015-10-01,,,,,{WY4226410574020151001},4.18,5302.13,0.08,4.18,0.08,41.98484931502285,-106.15038949625351
USGS-06713500,2011,2011-03-24,2011-03-24,2003-10-29,2013-06-11,2703,810,{CO3940010473020110324},4.73,1057.32,0.45,5.37,0.51,39.372814327853916,-104.76564544629797
USGS-07103990,2013,2013-06-11,2013-06-11,,,,,{CO3901210474920130611},0.71,48.78,1.46,0.71,1.46,38.95137534471371,-104.73088349238226
USGS-07297910,1994,1994-01-05,1994-01-05,1993-02-25,1994-04-01,314,86,{NM3475910343019940105},13.32,9210.04,0.14,18.00,0.20,34.90693489165218,-102.44781085835257
USGS-07311783,1999,1999-08-31,1999-08-31,1996-04-24,2000-09-10,1224,376,{TX3365910053119990831},9.02,574.08,1.57,39.97,6.96,33.619279523226645,-100.45471987320056
USGS-07311800,2011,2011-05-07,2011-05-07,2011-04-06,2016-02-10,31,1740,{TX3354510075720110507},99.54,1440.23,6.91,296.69,20.60,33.64812676800673,-100.24534948869453
USGS-08386000,1994,1994-06-29,1994-08-18,1994-04-18,1995-05-15,72,270,"{NM3351710487719940702,NM3358010526419940630,NM3361210436119940702,NM3366810474919940702,NM3367510467019940702,NM3373110566319940629,NM3385710487919940806,NM3401510542519940701,NM3450010404519940818}",73.37,25750.76,0.28,263.32,1.02,34.56373919517095,-104.88366664295766
USGS-08396500,2000,2000-04-24,2000-08-06,2000-03-28,2001-04-21,27,258,"{NM3281110462720000526,NM3330710437220000517,NM3338410559720000507,NM3341310481020000424,NM3348610384920000601,NM3511510474220000806,NM3570310559420000529}",149.76,37326.90,0.40,1012.05,2.71,34.16238563619212,-104.86047817515514
USGS-08406500,1985,1985-06-30,1985-06-30,,1987-01-30,,579,"{NM3209710466519850630,NM3211910470319850630}",16.57,46915.81,0.04,16.57,0.04,33.8376500090341,-104.84955216236685
USGS-08407500,1990,1990-05-13,1990-06-28,1989-08-16,1991-02-05,270,222,"{NM3206110470119900513,NM3395910460319900628,NM3454310482319900625,TX3194010480219900625}",126.96,47822.13,0.27,409.75,0.86,33.805782680060666,-104.83604216698875
USGS-09217000,1988,1988-06-03,1988-08-21,,1996-10-06,,2968,"{WY4291010958419880821,WY4291710978419880603,WY4330910979719880721}",129.11,24420.74,0.53,129.11,0.53,42.24168766910329,-109.62053115401173
USGS-09224700,1988,1988-09-09,1988-09-09,1988-07-22,1998-05-02,49,3522,{WY4134111078119880909},21.45,7708.67,0.28,21.46,0.28,41.49489255114553,-110.4390977969564
USGS-09234500,1996,1996-10-06,1996-10-06,1994-08-22,1997-10-01,776,360,{WY4290110976219961006},21.48,38331.50,0.06,207.10,0.54,41.91676804211965,-109.80495531307659
USGS-09306500,1996,1996-08-02,1996-08-03,1995-09-16,1998-01-01,321,516,"{CO4029510862519960802,CO4036010831919960803}",51.32,10091.36,0.51,167.04,1.66,39.981057018465805,-108.32594595269569
USGS-09315000,1988,1988-05-13,1988-08-21,1987-08-20,1988-09-07,267,17,"{CO4000710827919880513,CO4023510902719880717,CO4026110893719880717,CO4034910880119880717,CO4041710819719880716,CO4053310854919880725,CO4053410872819880714,CO4062210759319880716,CO4062510889419880819,CO4062610881819880817,UT4089410939519880723,WY4185911064819880722,WY4291010958419880821,WY4291710978419880603,WY4330910979719880721}",285.39,103745.16,0.28,373.86,0.36,40.910450307291505,-109.26704163440559
USGS-09371500,1989,1989-07-08,1989-07-08,,1996-08-18,,2598,{CO3724210853919890708},0.97,596.47,0.16,0.97,0.16,37.3708434017375,-108.56948907668594
USGS-09372000,1989,1989-07-08,1989-07-08,,1996-08-18,,2598,{CO3724210853919890708},0.92,899.69,0.10,0.92,0.10,37.35938317406187,-108.65341559266999
USGS-09379500,1996,1996-06-05,1996-08-18,1995-10-15,1998-07-19,234,700,"{CO3724610848119960818,CO3734910789619960605,NM3699810700819960610}",90.20,58726.38,0.15,235.53,0.40,36.78272513976167,-108.48695973163191
