usgs_site,event_id,segment_intersects,distance,segment,vertex,Euclidean
USGS-06244500,WY4362810904920000917,1,57437.69193561934,120,4,44409.46433253354
USGS-06253000,WY4362810904920000917,1,106580.86219465548,152,4,79739.26460058795
USGS-06258000,WY4354410851720000807,33,69349.57498169359,67,42,36912.22285653618
USGS-06258000,WY4362810904920000917,3,101188.79731663864,213,13,67848.31409543756
USGS-06270000,WY4361710750119940806,4,93291.72497402226,315,32,40217.652383961526
USGS-06270000,WY4363910752719960825,54,79934.64574104277,337,40,31111.363242080784
USGS-06270000,WY4367810743820050713,4,75557.11691030655,196,10,35708.315498557626
USGS-06270000,WY4373610726720060804,6,71043.97471402898,212,12,31130.60650058263
USGS-06270000,WY4374910760920070929,2,81294.67706774597,338,34,29812.44427797387
USGS-06270000,WY4375410737219960825,12,56033.36725669872,137,29,22729.1777292863
USGS-06270000,WY4383510733620120626,10,42701.94395675146,105,71,18361.921516056136
USGS-06270000,WY4385910752019960825,9,30959.872891997606,119,10,13700.275353751755
USGS-06270000,WY4390510730919960825,2,26737.127660753275,60,32,12798.116953785115
USGS-06270000,WY4400310735220010917,3,6270.648927967141,9,9,5296.605656321648
USGS-06309500,WY4350710694919970909,1,39759.07041737947,75,6,18036.195847906674
USGS-06309500,WY4361710697020060822,9,15904.111809012258,19,72,8572.716823042118
USGS-06309500,WY4362710700019990819,3,19584.642134131915,24,27,13081.281133787308
USGS-06635000,WY4226410574020151001,NA,NA,NA,NA,NA
USGS-06639000,WY4225910726320110921,1,87730.99252574207,271,6,27080.2762561935
USGS-06639000,WY4230210762119920922,1,92301.86735398759,212,11,43051.91250840144
USGS-06639000,WY4259410907119890704,11,325854.1563383656,863,77,156671.79921543735
USGS-06712000,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-06713000,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-06713000,CO3940010473020110324,2,37344.95454623253,102,13,27372.280685482183
USGS-06713000,CO3947710493720031029,NA,NA,NA,NA,NA
USGS-06713300,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-06713300,CO3940010473020110324,2,46599.36233370513,118,13,35398.34532595723
USGS-06713300,CO3947710493720031029,NA,NA,NA,NA,NA
USGS-06713500,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-06713500,CO3940010473020110324,2,53807.0103374614,108,13,41598.860727480256
USGS-06713500,CO3947710493720031029,NA,NA,NA,NA,NA
USGS-07103960,CO3901210474920130611,2,11803.911495409046,7,30,6152.8449785652565
USGS-07103977,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-07103980,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-07103987,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-07103990,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-07105600,CO3901210474920130611,NA,NA,NA,NA,NA
USGS-07105900,CO3876010460719960224,1,12768.08699365682,20,61,7210.304764038516
USGS-07119500,CO3739910480620060107,1,182008.2671338897,390,15,103369.24925148566
USGS-07120620,CO3753810397920010708,NA,NA,NA,NA,NA
USGS-07120620,CO3756710383820110605,1,0,2,10,0
USGS-07121500,CO3753810397920010708,NA,NA,NA,NA,NA
USGS-07121500,CO3756710383820110605,6,67335.57689990263,40,2,47030.68064951182
USGS-07121500,CO3781310378320110219,1,20385.769847970125,16,179,9141.83687496355
USGS-07121500,CO3797710376220110322,NA,NA,NA,NA,NA
USGS-07123675,CO3813810358719991120,1,34143.550170381124,47,2,19081.505231377487
USGS-07123675,CO3853910404720180417,3,92456.89291692621,202,101,66863.57328914852
USGS-07123675,CO3874510365520110324,2,107583.95966687135,249,25,69757.90512006442
USGS-07123675,CO3882910401420020608,3,137304.75044740678,353,5,98469.07386504121
